2,2,0,0
4,3,5,0,2,7,1,6,
,0,0,0,0,0,0
Mesla,1,3,0,180,90,90
Macrotough,2,3,0,190,95,95
,3,0,0,0,0,0
Waterfox,4,3,0,200,100,100
NoFlix,5,3,0,210,105,110
,6,0,0,0,0,0
Samysung,7,2,0,120,60,70
Joogle,8,4,0,280,140,120
Bisco,9,2,0,110,55,60
Pear,10,4,0,290,145,140
,11,0,0,0,0,0
,12,0,0,0,0,0
Hoom,13,2,0,100,50,40
River of Amazon,14,5,0,340,170,180
Bazer,15,2,0,90,45,30
Armbook,16,5,0,350,175,200
Byzen,17,2,0,80,45,25
Crintel,18,1,2,70,35,20
Pacer,19,1,0,60,30,15
,20,0,0,0,0,0
Esus,21,1,1,60,30,15
Bogitek,22,1,0,30,15,5
,23,0,0,0,0,0
asd,18,0,0,2,-30,true/18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
qwe,21,0,0,1,-30,true/-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,
